"lemmaId","arabic","lemma","root","partOfSpeech","phoneticKeys","occurrenceCount","firstRef","meaning","reviewStatus"
"ans-tstans","tasota>onisu","tasota>onisu","Ans","verb","tstans","1","24:27:10","","auto"
"ant-aant",">aEonata",">aEonata","Ent","verb","aant","1","2:220:22","","auto"
"ant-an","Eani","Eani","Ent","verb","an","3","3:118:14","","auto"
"ant-ant","Eanat","Eanat","Ent","noun","ant","1","4:25:50","","auto"
"anth-anthaa",">unvaY`",">unvaY`","Anv","noun","anthaa","24","2:178:13","","auto"
"anth-anthyyn",">unvayayon",">unvayayon","Anv","noun","anthyyn","6","4:11:8","","auto"
"anw-ant","Eanati","Eanati","Enw","verb","ant","1","20:111:1","","auto"
"any-aan","'aAn","'aAn","Any","noun","aan","1","55:44:5","","auto"
"any-aanaa","'aAnaA^'","'aAnaA^'","Any","time","aanaa","3","3:113:11","","auto"
"any-aanyh","'aAniyap","'aAniyap","Any","noun","aanyh","2","76:15:3","","auto"
"any-anaa",">an~aY`",">an~aY`","Any","INTG","anaa","15","2:223:6","","auto"
"any-inaa","<inaY`","<inaY`","Any","noun","inaa","1","33:53:16","","auto"
"any-yan","ya>oni","ya>oni","Any","verb","yan","1","57:16:2","","auto"
"aqb-aaqb",">aEoqaba",">aEoqaba","Eqb","verb","aaqb","7","9:77:1","","auto"
"aqb-aaqbh","Ea`qibap","Ea`qibap","Eqb","noun","aaqbh","32","3:137:12","","auto"
"aqb-aqab","EiqaAb","EiqaAb","Eqb","noun","aqab","20","2:196:73","","auto"
"aqb-aqb","Eaqib","Eaqib","Eqb","noun","aqb","9","2:143:27","","auto"
"aqb-aqba","EuqobaY","EuqobaY","Eqb","noun","aqba","6","13:22:18","","auto"
"aqb-aqbh","Eaqabap","Eaqabap","Eqb","noun","aqbh","2","90:11:3","","auto"
"aqb-maqb","muEaq~ib","muEaq~ib","Eqb","noun","maqb","1","13:41:12","","auto"
"aqb-maqbat","muEaq~iba`t","muEaq~iba`t","Eqb","noun","maqbat","1","13:11:2","","auto"
"aqb-yaqb","yuEaq~ibo","yuEaq~ibo","Eqb","verb","yaqb","2","27:10:11","","auto"
"aqd-aqd","Eaq~ad","Eaq~ad","Eqd","verb","aqd","1","5:89:10","","auto"
